event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-07484,natural_impact,1973-12-24T10:05:00,S16,MH1;MH2;MHZ;SHZ,1973-358,0,MH1;MH2;MHZ;SHZ,,1
levent-07487,deep_moonquake_assigned,1973-12-25T15:16:00,S14,MH1;MH2,1973-359,0,MH1;MH2,,1
levent-07487,deep_moonquake_assigned,1973-12-25T15:16:00,S15,MH1;MH2,1973-359,0,MH1;MH2,,1
levent-07487,deep_moonquake_assigned,1973-12-25T15:16:00,S16,MH1;MH2;MHZ,1973-359,0,MH1;MH2;MHZ,,1
levent-07532,natural_impact,1974-01-04T03:48:00,S15,MH1;MH2;MHZ;SHZ,1974-004,0,MH1;MH2;MHZ;SHZ,,1
levent-07546,natural_impact,1974-01-05T03:14:00,S12,MH1;MH2;MHZ,1974-005,0,MH1;MH2;MHZ,,1
levent-07546,natural_impact,1974-01-05T03:14:00,S14,MH1;MH2,1974-005,0,MH1;MH2,,1
levent-07546,natural_impact,1974-01-05T03:14:00,S15,MH1;MH2,1974-005,0,MH1;MH2,,1
levent-07546,natural_impact,1974-01-05T03:14:00,S16,MH1;MH2;MHZ;SHZ,1974-005,0,MH1;MH2;MHZ;SHZ,,1
levent-07556,deep_moonquake_assigned,1974-01-06T07:41:00,S12,MH1;MH2;MHZ,1974-006,0,MH1;MH2;MHZ,,1
levent-07556,deep_moonquake_assigned,1974-01-06T07:41:00,S14,MH1;MH2;SHZ,1974-006,0,MH1;MH2;SHZ,,1
levent-07556,deep_moonquake_assigned,1974-01-06T07:41:00,S15,MH2,1974-006,0,MH2,,1
levent-07556,deep_moonquake_assigned,1974-01-06T07:41:00,S16,MH1;MH2,1974-006,0,MH1;MH2,,1
levent-07562,natural_impact,1974-01-07T05:40:00,S15,MH1;MH2;MHZ;SHZ,1974-007,0,MH1;MH2;MHZ;SHZ,,1
levent-07575,natural_impact,1974-01-10T23:21:00,S12,MH1;MH2;MHZ,1974-010,0,MH1;MH2;MHZ,,1
levent-07575,natural_impact,1974-01-10T23:21:00,S14,MH1;MH2;SHZ,1974-010,0,MH1;MH2;SHZ,,1
