station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes,att_sample_rate_hz,waveform_sample_rate_hz,att_trace_start,att_trace_end,waveform_trace_start,waveform_trace_end,att_gap_fraction,att_longest_gap_seconds,waveform_gap_fraction,waveform_longest_gap_seconds,day_integrity_status,candidate_scan_window_count,passing_scan_window_count,scannable_union_seconds
S12,1976,046,S12_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-15T00:00:00.007000Z,1976-02-16T00:00:00.610774Z,1976-02-15T00:00:00.120000Z,1976-02-16T00:00:01.176604Z,0.005282945032214784,283.77358490566036,0.0052969210772735534,283.77358490566036,usable_integrity,1431,1412,86280
S14,1975,287,S14_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-14T00:00:00.018000Z,1975-10-15T00:00:03.036868Z,1975-10-14T00:00:00.093000Z,1975-10-15T00:00:03.564698Z,0.008657917907005996,234.8679245283019,0.008766229228683633,234.8679245283019,usable_integrity,1431,1415,86280
S14,1975,288,S14_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1546265,1.65625,6.625,1975-10-15T00:00:54.519156Z,1975-10-16T00:00:05.613496Z,1975-10-15T00:00:54.594156Z,1975-10-16T00:00:06.141326Z,0.00016081666899734302,4.226415094339623,0.0014648300936931898,4.226415094339623,usable_integrity,1431,1431,86400
S14,1975,289,S14_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-10-16T00:00:00.221000Z,1975-10-17T00:00:05.654962Z,1975-10-16T00:00:00.296000Z,1975-10-17T00:00:06.182792Z,0.13444203759345957,11360.603773584906,0.13452239536021243,11360.603773584906,questionable_integrity,1431,1236,75240
S14,1975,290,S14_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-10-17T00:00:00.294000Z,1975-10-18T00:00:05.124189Z,1975-10-17T00:00:00.369000Z,1975-10-18T00:00:05.652019Z,0.00023059346372345554,6.037735849056604,0.00031095179199072036,6.037735849056604,usable_integrity,1431,1431,86400
S14,1975,291,S14_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-10-18T00:00:00.007000Z,1975-10-19T00:00:04.837189Z,1975-10-18T00:00:00.082000Z,1975-10-19T00:00:05.365019Z,0.0004332362045713407,16.90566037735849,0.000555520617151961,16.90566037735849,usable_integrity,1431,1431,86400
S14,1975,292,S14_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1587225,1.65625,6.625,1975-10-19T00:00:00.078000Z,1975-10-20T00:00:04.908189Z,1975-10-19T00:00:00.153000Z,1975-10-20T00:00:05.436019Z,0.04128321768721743,138.8679245283019,0.049146105416151324,138.8679245283019,usable_integrity,1431,1325,80580
S14,1975,293,S14_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-20T00:00:00.407000Z,1975-10-21T00:00:04.633415Z,1975-10-20T00:00:00.482000Z,1975-10-21T00:00:05.161245Z,4.891410682840931e-05,2.4150943396226414,7.686502501607178e-05,2.4150943396226414,usable_integrity,1431,1431,86400
S14,1975,294,S14_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-21T00:00:00.279000Z,1975-10-22T00:00:04.505415Z,1975-10-21T00:00:00.354000Z,1975-10-22T00:00:05.033245Z,0.00019565642731363725,10.867924528301886,0.00020788495402073958,10.867924528301886,usable_integrity,1431,1431,86400
S14,1975,295,S14_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-22T00:00:00.217000Z,1975-10-23T00:00:04.443415Z,1975-10-22T00:00:00.292000Z,1975-10-23T00:00:04.971245Z,0.00041926377281493695,33.20754716981132,0.0004314922995220393,33.20754716981132,usable_integrity,1431,1431,86400
S14,1975,296,S14_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-23T00:00:00.121000Z,1975-10-24T00:00:04.951189Z,1975-10-23T00:00:00.196000Z,1975-10-24T00:00:05.479019Z,3.493840359446296e-05,2.4150943396226414,4.891376503224815e-05,2.4150943396226414,usable_integrity,1431,1431,86400
S14,1975,297,S14_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-24T00:00:00.463000Z,1975-10-25T00:00:05.293189Z,1975-10-24T00:00:00.538000Z,1975-10-25T00:00:05.821019Z,3.493840359446296e-05,2.4150943396226414,4.541992467280185e-05,2.4150943396226414,usable_integrity,1431,1431,86400
S14,1975,298,S14_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-25T00:00:00.577000Z,1975-10-26T00:00:05.407189Z,1975-10-25T00:00:00.652000Z,1975-10-26T00:00:05.935019Z,0.0002655318673179185,17.50943396226415,0.00026727878749764167,17.50943396226415,usable_integrity,1431,1431,86400
S14,1975,299,S14_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-26T00:00:00.430000Z,1975-10-27T00:00:05.260189Z,1975-10-26T00:00:00.505000Z,1975-10-27T00:00:05.788019Z,6.987680718892592e-06,0.6037735849056604,6.987680718892592e-06,0.6037735849056604,usable_integrity,1431,1431,86400
S14,1975,300,S14_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1542169,1.65625,6.625,1975-10-27T00:00:00.078000Z,1975-10-27T23:55:26.568566Z,1975-10-27T00:00:00.153000Z,1975-10-27T23:55:27.096396Z,0.02663899949526106,2026.2641509433963,0.027678270988727497,2026.2641509433963,usable_integrity,1431,1378,84300
